"position","id","category","title","metric","summary"
"1","p1","Growth & GTM","New signups who finished KYC but never invested","Activation rate","KYC done, bank linked, then silence. The gap between onboarding and the first trade is where AUM dies."
"2","p2","Growth & GTM","Merchants who integrated the gateway but never went live","Merchant activation","Gateway integration complete, zero live transactions. The hard part is done — something stopped them at the last mile."
"3","p5","Growth & GTM","Customers who bought once and never came back","Repeat purchase rate","They liked you once. Bring them back before a rival does."
"4","p17","Growth & GTM","Prospects who went silent after the demo","Pipeline conversion","High intent signals everywhere, zero response to the AE. A well-timed voice call converts what email never will."
"5","p19","Growth & GTM","Investors with money on the platform who stopped logging in","AUM reactivation","The money is already there. No login in 90 days. A check-in call resurfaces the portfolio."
"6","p20","Growth & GTM","Trial users in the final 72 hours","Trial-to-paid","They love the product but have not pulled the trigger. Budget, approval, or a missing feature?"
"7","p26","Growth & GTM","Subscribers whose payment failed","Involuntary churn","The customer never decided to leave — their card did. One call saves the subscription."
"8","p35","Growth & GTM","Calling inbound demo requests back within minutes","Lead-to-meeting conversion","Conversion drops by the minute after the form fill. Call back fast, qualify, and book the meeting."
"9","p39","Growth & GTM","Personal-loan leads from paid ads that mostly turn out junk","Cost per qualified lead","Meta and Google fill the form for pennies, but most leads are wrong-income, rate-shoppers or mis-taps. The team burns the day on dead numbers while the pixel keeps buying more of the same."
"10","p13","Founders & Sales","Exit interviews within 48 hours of cancellation","Churn reduction","Wait a week and you get polite nothing. A structured call within 48 hours gets the honest answer."
"11","p22","Founders & Sales","Accounts that just downgraded","Revenue retention","Not churn — negotiation. What made them shrink, and what would make them grow back?"
"12","p37","Founders & Sales","Overdue invoices stuck in someone’s finance queue","Days sales outstanding","Day 45, unpaid — not refusal, just stuck with someone's finance team. Find where it is stuck, get a date."
"13","p38","Founders & Sales","Candidates who accepted the offer but might not join","Offer-to-join rate","30–50% of accepted offers never show up on day one. Keep-warm calls catch counter-offers early."
"14","p3","Marketplace, Fintech & Mobility Operators","Sellers who registered but never listed a product","Seller activation","Registered, KYC uploaded, zero listings. Every day without a catalog is GMV you will never see."
"15","p8","Marketplace, Fintech & Mobility Operators","Investors whose SIPs stopped","Recurring AUM","Market fear, cash crunch, or just forgot? Every silent month is compounding AUM loss."
"16","p10","Marketplace, Fintech & Mobility Operators","Drivers whose weekly trips collapsed","Supply retention","Earnings, incentives, app issue, or a rival platform? You need to know before they are gone."
"17","p23","Marketplace, Fintech & Mobility Operators","Collection calls for overdue EMIs","Collections rate","Cash flow, dispute, or forgot? The first call decides the entire recovery strategy."
"18","p24","Marketplace, Fintech & Mobility Operators","Merchants whose payment volume suddenly dropped","Revenue recovery","No ticket, no complaint, no churn request. Just silence. Nobody investigated."
"19","p25","Marketplace, Fintech & Mobility Operators","Fraud verification calls for flagged transactions","Fraud loss ratio","The system flagged it. A call within minutes verifies identity, confirms or denies, and unblocks the legitimate ones."
"20","p34","Marketplace, Fintech & Mobility Operators","Loan applications stuck on one missing document","Application-to-disbursal rate","Pre-approved, then stalled on one missing document. An incomplete file is revenue sitting one PDF away."
"21","p36","Marketplace, Fintech & Mobility Operators","Re-KYC before the account freezes","Re-KYC completion rate","Miss the RBI window and the account freezes. Every freeze is a support ticket plus a churn risk."
"22","p30","Healthcare Ops","Checking patients are taking their medicines after discharge","Readmission rate","Side effects, cost, confusion, or no family support — catch non-adherence before it becomes a readmission."
"23","p31","Healthcare Ops","Patients who never booked the follow-up appointment","Clinic revenue","The treatment is incomplete and the revenue is leaking. Capture the reason and rebook on the spot."
"24","p32","Healthcare Ops","Confirming patients are ready 48 hours before surgery","OT utilization","Wrong prep means a cancelled procedure and a wasted OT slot. Confirm readiness 48 hours before."
"25","p33","Healthcare Ops","Chronic patients who stopped refilling their medicines","Medication adherence","Switched pharmacies — or stopped taking the medication? For diabetes and hypertension, the difference is everything."
"26","p6","Product Managers","Accounts whose usage is falling with zero complaints","Logo retention","No complaints, no tickets, just declining logins. A renewal nobody knows is at risk yet."
"27","p27","Product Managers","Calling unhappy customers after an NPS drop","NPS recovery","Survey data gives you the score, not the story. Run follow-up conversations with the detractors."
"28","p40","Product Managers","Feature requests you're about to build without validating","Roadmap hit rate","The same request keeps coming up, so it's near the top of the roadmap. But nobody has called the people who asked to find what they're really trying to do — and half of built features ship to silence."
"29","p41","Product Managers","Pricing changes shipped on gut instead of what customers will pay","Willingness to pay","The price is about to move — on instinct, a board nudge, and a glance at a competitor. Nobody has asked customers what they'd actually pay, or what makes them flinch, before a number that touches everyone goes live."
"30","p42","Product Managers","Users who stalled in onboarding and never reached first value","Activation rate","They signed up, started setup, and stopped one step short of the aha moment. The dashboards show the drop-off cliff but never the reason — and that reason is the highest-leverage thing a PM can learn."
